player,season,team,league,pos_,age_,Playing Time_Min,primary_role,secondary_role,primary_role_similarity,secondary_role_similarity,role_confidence,role_ambiguity,primary_role_cluster,secondary_role_cluster,role_similar_player_1,role_similar_player_2,role_similar_player_3,role_similar_player_4,role_similar_player_5
Jordon Ibe,1718,Bournemouth,ENG-Premier League,"MF,FW",21.0,1995,Creative Playmaker,Ball Progressor,31.8,29.5,2.3,97.7,2,1,Raúl Moro | Valladolid | 2425 | 90.9,Amine Harit | Schalke 04 | 2021 | 87.1,Mason Greenwood | Getafe | 2324 | 86.5,Ryan Fraser | Bournemouth | 1920 | 86.4,Javairô Dilrosun | Bordeaux | 2122 | 85.8
Junior Stanislas,1718,Bournemouth,ENG-Premier League,"MF,FW",27.0,1286,Creative Playmaker,Ball Progressor,33.0,29.6,3.4,96.6,2,1,Érik Lamela | Tottenham | 1819 | 92.2,Marco Reus | Dortmund | 1718 | 86.8,Emil Forsberg | RB Leipzig | 1920 | 86.4,Miha Zajc | Empoli | 1819 | 85.9,Ihlas Bebou | Hannover 96 | 1819 | 85.8
Lewis Cook,1718,Bournemouth,ENG-Premier League,MF,20.0,2237,Box-to-Box Engine,Defensive Anchor,36.1,27.1,9.0,91.0,3,0,Ismaël Bennacer | Milan | 1920 | 88.4,Youssouf Fofana | Monaco | 2122 | 81.6,Florian Grillitsch | Hoffenheim | 1819 | 80.8,Ibrahim Sangaré | Toulouse | 1819 | 79.7,Mattéo Guendouzi | Arsenal | 1819 | 78.5
Marc Pugh,1718,Bournemouth,ENG-Premier League,"MF,FW",30.0,985,Ball Progressor,Creative Playmaker,30.5,25.8,4.7,95.3,1,2,Nathan Dyer | Swansea City | 1718 | 83.7,Alexander Esswein | Stuttgart | 1819 | 77.0,Federico Bernardeschi | Juventus | 2122 | 76.6,Marko Pjaca | Torino | 2122 | 75.7,Jules Iloki | Nantes | 1718 | 73.6
Ryan Fraser,1718,Bournemouth,ENG-Premier League,"MF,DF",23.0,2004,Ball Progressor,Creative Playmaker,31.4,30.2,1.2,98.8,1,2,Jon Morcillo | Athletic Club | 2021 | 80.9,Emile Smith Rowe | Arsenal | 2021 | 80.7,Jakub Jankto | Sampdoria | 1920 | 80.6,Yann Gboho | Toulouse | 2425 | 80.2,Nathan Redmond | Southampton | 2021 | 79.5
Anthony Knockaert,1718,Brighton,ENG-Premier League,"MF,FW",25.0,2421,Ball Progressor,Box-to-Box Engine,32.0,24.7,7.3,92.7,1,3,Nathan Redmond | Southampton | 1920 | 89.9,Gaetano Castrovilli | Fiorentina | 1920 | 86.0,Seko Fofana | Lens | 2122 | 82.4,Daniel Bessa | Genoa | 1819 | 79.2,Junior Messias | Crotone | 2021 | 78.4
Dale Stephens,1718,Brighton,ENG-Premier League,MF,28.0,3240,Defensive Anchor,Box-to-Box Engine,39.8,26.0,13.8,86.2,0,3,Guilherme | La Coruña | 1718 | 93.7,Walace | Udinese | 2122 | 93.6,Guido Rodríguez | Betis | 2021 | 93.1,Étienne Capoue | Watford | 1819 | 92.3,Christian Nørgaard | Brentford | 2122 | 91.4
Davy Pröpper,1718,Brighton,ENG-Premier League,MF,25.0,3119,Defensive Anchor,Box-to-Box Engine,43.5,23.4,20.1,79.9,0,3,Morten Hjulmand | Lecce | 2223 | 92.5,Abdoulaye Touré | Nantes | 1819 | 90.5,Jefferson Lerma | Bournemouth | 1920 | 90.1,Guilherme | La Coruña | 1718 | 89.8,Jean-Eudes Aholou | Strasbourg | 1718 | 89.4
José Izquierdo,1718,Brighton,ENG-Premier League,"MF,FW",25.0,1984,Ball Progressor,Creative Playmaker,33.8,25.1,8.7,91.3,1,2,Daniel Podence | Wolves | 2021 | 88.0,Luis Rioja | Alavés | 2021 | 84.6,Arnaud Nordin | Saint-Étienne | 2021 | 83.3,Jorge de Frutos | Levante | 2122 | 82.5,Jonathan Ikone | Lille | 2021 | 82.2
Solly March,1718,Brighton,ENG-Premier League,"MF,FW",23.0,1851,Ball Progressor,Defensive Anchor,33.5,23.9,9.6,90.4,1,0,Naouirou Ahamada | Crystal Palace | 2223 | 80.0,Keko | Valladolid | 1819 | 77.6,Ander Barrenetxea | Real Sociedad | 2021 | 75.9,Ramadan Sobhi | Stoke City | 1718 | 75.7,Toni Villa | Valladolid | 1819 | 74.4
Aaron Lennon,1718,Burnley,ENG-Premier League,MF,30.0,1118,Ball Progressor,Defensive Anchor,34.5,26.0,8.5,91.5,1,0,Aleix Vidal | Espanyol | 2223 | 81.3,Patrick Ciurria | Monza | 2425 | 80.7,André Ayew | Swansea City | 1718 | 78.8,Salvi | Cádiz | 2122 | 78.5,Jóhann Berg Guðmundsson | Burnley | 2122 | 78.0
Ashley Westwood,1718,Burnley,ENG-Premier League,MF,27.0,1111,Defensive Anchor,Box-to-Box Engine,38.4,24.8,13.6,86.4,0,3,Alberto Grassi | Empoli | 2223 | 90.1,Romaine Sawyers | West Brom | 2021 | 85.7,Mikel Vesga | Athletic Club | 2122 | 85.0,Francesco Di Tacchio | Salernitana | 2122 | 83.5,Kévin N'Doram | Metz | 2122 | 83.3
Jack Cork,1718,Burnley,ENG-Premier League,MF,28.0,3420,Defensive Anchor,Ball Progressor,40.7,23.0,17.7,82.3,0,1,Dani García | Athletic Club | 1920 | 88.8,Kenny McLean | Norwich City | 1920 | 88.8,Oriol Romeu | Girona | 2223 | 87.5,Davy Pröpper | Brighton | 1718 | 86.4,Ivan Radovanović | Chievo | 1718 | 86.0
Jóhann Berg Guðmundsson,1718,Burnley,ENG-Premier League,MF,26.0,2833,Ball Progressor,Creative Playmaker,33.9,24.3,9.6,90.4,1,2,Rubén García | Osasuna | 2021 | 86.4,Gaël Kakuta | Amiens | 1718 | 81.4,Nikola Vlašić | Torino | 2223 | 81.3,Luis Rioja | Alavés | 2122 | 80.3,Matt Ritchie | Newcastle Utd | 1718 | 79.9
Robbie Brady,1718,Burnley,ENG-Premier League,MF,25.0,1277,Ball Progressor,Box-to-Box Engine,32.1,24.0,8.1,91.9,1,3,Charles De Ketelaere | Milan | 2223 | 74.9,Pedro Díaz | Rayo Vallecano | 2425 | 73.3,Óscar Rodríguez Arnaiz | Getafe | 2324 | 72.7,Gastón Ramírez | Sampdoria | 1819 | 72.4,Stef Peeters | Caen | 1718 | 71.5
Scott Arfield,1718,Burnley,ENG-Premier League,"MF,FW",28.0,1333,Defensive Anchor,Ball Progressor,32.4,30.2,2.2,97.8,0,1,Kevin Spadanuda | Ajaccio | 2223 | 86.4,Jake Livermore | West Brom | 2021 | 84.0,Beram Kayal | Brighton | 1819 | 83.9,Grischa Prömel | Hoffenheim | 2223 | 81.1,Suat Serdar | Hellas Verona | 2425 | 80.4
Steven Defour,1718,Burnley,ENG-Premier League,MF,29.0,1997,Defensive Anchor,Box-to-Box Engine,31.7,28.6,3.1,96.9,0,3,Romain Amalfitano | Dijon | 1920 | 83.9,Milan Badelj | Fiorentina | 1920 | 79.1,Andrea Poli | Bologna | 1920 | 77.5,Denis Zakaria | Monaco | 2324 | 76.9,Omar Mascarell | Schalke 04 | 1920 | 75.8
Cesc Fàbregas,1718,Chelsea,ENG-Premier League,MF,30.0,2306,Creative Playmaker,Box-to-Box Engine,30.4,27.8,2.6,97.4,2,3,Marcelo Brozović | Inter | 1718 | 91.1,Joshua Kimmich | Bayern Munich | 2324 | 90.2,Santi Cazorla | Villarreal | 1819 | 87.6,Pascal Groß | Brighton | 2324 | 87.4,Fabián Ruiz Peña | Paris S-G | 2425 | 86.1
N'Golo Kanté,1718,Chelsea,ENG-Premier League,MF,26.0,2994,Box-to-Box Engine,Defensive Anchor,33.5,25.7,7.8,92.2,3,0,Florian Grillitsch | Hoffenheim | 1819 | 87.6,Asier Illarramendi | Real Sociedad | 1718 | 85.2,Ismaël Bennacer | Milan | 1920 | 84.6,Valentin Rongier | Marseille | 2223 | 83.9,Thiago Mendes | Lille | 1819 | 83.7
Pedro,1718,Chelsea,ENG-Premier League,"MF,FW",30.0,1523,Creative Playmaker,Ball Progressor,30.1,29.6,0.5,99.5,2,1,Emanuele Giaccherini | Chievo | 1819 | 81.4,Jonathan Bamba | Celta Vigo | 2324 | 80.8,Nicolas Benezet | Guingamp | 1819 | 80.4,Max Gradel | Toulouse | 1920 | 80.2,Amin Younes | Eint Frankfurt | 2021 | 79.9
Tiemoué Bakayoko,1718,Chelsea,ENG-Premier League,MF,22.0,2126,Defensive Anchor,Box-to-Box Engine,36.0,27.9,8.1,91.9,0,3,Cheick Doucouré | Lens | 2021 | 89.3,Manu Koné | Gladbach | 2122 | 87.7,Rodri | Atlético Madrid | 1819 | 86.2,Thomas Partey | Atlético Madrid | 1718 | 85.5,Baptiste Santamaria | Angers | 1920 | 84.9
Willian,1718,Chelsea,ENG-Premier League,"MF,FW",28.0,1890,Creative Playmaker,Ball Progressor,40.6,22.5,18.1,81.9,2,1,Ousmane Dembélé | Paris S-G | 2324 | 94.0,Josip Iličić | Atalanta | 1718 | 93.9,Ruslan Malinovskyi | Atalanta | 2021 | 93.2,Papu Gómez | Atalanta | 1718 | 92.6,Dimitri Payet | Marseille | 1718 | 91.8
James McArthur,1718,Crystal Palace,ENG-Premier League,MF,29.0,2431,Defensive Anchor,Ball Progressor,35.6,26.5,9.1,90.9,0,1,Celso Borges | La Coruña | 1718 | 80.9,Albin Ekdal | Sampdoria | 2021 | 79.4,Manu García | Alavés | 1718 | 78.9,Aron Gunnarsson | Cardiff City | 1819 | 78.9,Anthony Losilla | Bochum | 2122 | 78.9
Luka Milivojević,1718,Crystal Palace,ENG-Premier League,MF,26.0,3080,Defensive Anchor,Box-to-Box Engine,33.0,27.4,5.6,94.4,0,3,Ellyes Skhiri | Köln | 2223 | 90.1,Casemiro | Real Madrid | 1920 | 88.3,Tomáš Souček | West Ham | 2021 | 86.0,Saúl Ñíguez | Atlético Madrid | 1920 | 85.9,Rúben Neves | Wolves | 2223 | 85.7
Ruben Loftus-Cheek,1718,Crystal Palace,ENG-Premier League,MF,21.0,1874,Creative Playmaker,Ball Progressor,28.9,28.3,0.6,99.4,2,1,Amine Harit | Schalke 04 | 1718 | 86.8,Julien Ponceau | Lorient | 2324 | 86.7,Sada Thioub | Nîmes | 1819 | 86.1,Samuel Chukwueze | Villarreal | 1819 | 85.8,Houssem Aouar | Lyon | 1920 | 85.5
Yohan Cabaye,1718,Crystal Palace,ENG-Premier League,MF,31.0,2376,Defensive Anchor,Box-to-Box Engine,29.6,28.5,1.1,98.9,0,3,Christian Nørgaard | Brentford | 2324 | 81.5,Jonas Hector | Köln | 1920 | 76.8,Lucas Leiva | Lazio | 1920 | 75.2,Lucas Robertone | Almería | 2324 | 74.8,Milan Badelj | Genoa | 2122 | 73.0
Gylfi Sigurðsson,1718,Everton,ENG-Premier League,"MF,FW",27.0,2259,Ball Progressor,Defensive Anchor,33.5,24.9,8.6,91.4,1,0,Adrien Thomasson | Strasbourg | 2021 | 74.8,Matt Ritchie | Newcastle Utd | 1718 | 71.3,Davy Klaassen | Werder Bremen | 1819 | 70.6,Jean-Paul Boëtius | Mainz 05 | 2021 | 69.0,Niclas Eliasson | Nîmes | 2021 | 68.9
Idrissa Gana Gueye,1718,Everton,ENG-Premier League,MF,27.0,2750,Defensive Anchor,Box-to-Box Engine,35.4,27.1,8.3,91.7,0,3,Jonathan Hogg | Huddersfield | 1718 | 94.2,Renato Tapia | Celta Vigo | 2021 | 93.3,Wilfred Ndidi | Leicester City | 1920 | 92.2,Benjamin André | Lille | 2122 | 91.6,Óscar Valentín | Rayo Vallecano | 2122 | 91.5
Morgan Schneiderlin,1718,Everton,ENG-Premier League,MF,27.0,2130,Defensive Anchor,Box-to-Box Engine,38.4,24.5,13.9,86.1,0,3,Alberto Grassi | Cagliari | 2122 | 89.3,Dani García | Eibar | 1718 | 88.8,Didier Ibrahim Ndong | Dijon | 1920 | 87.8,Nicolas Höfler | Freiburg | 1819 | 87.6,Haris Belkebla | Brest | 2021 | 87.5
Tom Davies,1718,Everton,ENG-Premier League,MF,19.0,1900,Defensive Anchor,Ball Progressor,31.6,30.8,0.8,99.2,0,1,Godfred Donsah | Bologna | 1718 | 84.0,Kobbie Mainoo | Manchester Utd | 2324 | 81.6,Joris Chotard | Montpellier | 2021 | 80.9,Fran Beltrán | Celta Vigo | 1920 | 80.7,Samuel Bastien | Chievo | 1718 | 78.9
Wayne Rooney,1718,Everton,ENG-Premier League,"MF,FW",31.0,2268,Ball Progressor,Creative Playmaker,30.7,24.3,6.4,93.6,1,2,Mario Pašalić | Atalanta | 2324 | 79.9,Marco Mancosu | Lecce | 1920 | 79.3,Roberto Torres | Osasuna | 2021 | 78.9,José Luis Morales | Levante | 2021 | 76.5,Antonín Barák | Hellas Verona | 2122 | 75.6
Aaron Mooy,1718,Huddersfield,ENG-Premier League,MF,26.0,3067,Box-to-Box Engine,Defensive Anchor,38.8,25.0,13.8,86.2,3,0,Abdoulaye Doucouré | Watford | 1718 | 84.9,Remo Freuler | Atalanta | 1718 | 84.8,Youri Tielemans | Leicester City | 2021 | 83.6,Manu Trigueros | Villarreal | 1718 | 83.5,Thiago Mendes | Lille | 1819 | 83.5
Alex Pritchard,1718,Huddersfield,ENG-Premier League,"MF,FW",24.0,998,Ball Progressor,Creative Playmaker,32.9,24.6,8.3,91.7,1,2,João Mário | West Ham | 1718 | 88.1,Burgui | Alavés | 1718 | 85.8,Jesse Lingard | Manchester Utd | 1920 | 82.3,Federico Ricci | Genoa | 1718 | 81.6,Fabio Miretti | Juventus | 2324 | 81.3
Danny Williams,1718,Huddersfield,ENG-Premier League,MF,28.0,1124,Defensive Anchor,Ball Progressor,37.7,23.8,13.9,86.1,0,1,Mikel Vesga | Athletic Club | 1920 | 87.3,Daniel Torres | Alavés | 1718 | 86.2,Nemanja Radoja | Levante | 2122 | 85.0,Bonke Innocent | Lorient | 2223 | 84.4,Haris Belkebla | Brest | 1920 | 84.2
Jonathan Hogg,1718,Huddersfield,ENG-Premier League,MF,28.0,2398,Defensive Anchor,Box-to-Box Engine,36.1,26.6,9.5,90.5,0,3,Oriol Romeu | Southampton | 1819 | 96.3,Idrissa Gana Gueye | Everton | 1718 | 94.2,Philipp Bargfrede | Werder Bremen | 1718 | 92.6,Benjamin André | Lille | 1920 | 92.2,Étienne Capoue | Watford | 1819 | 92.2
Tom Ince,1718,Huddersfield,ENG-Premier League,"MF,FW",25.0,2452,Ball Progressor,Defensive Anchor,36.3,24.3,12.0,88.0,1,0,Javi Puado | Espanyol | 2122 | 89.7,Javier Eraso | Leganés | 1718 | 83.1,Miguel Almirón | Newcastle Utd | 1920 | 81.6,Bobby De Cordova-Reid | Fulham | 2021 | 81.4,Jofre | Espanyol | 2425 | 81.3
Demarai Gray,1718,Leicester City,ENG-Premier League,"MF,FW",21.0,1697,Ball Progressor,Creative Playmaker,32.0,27.8,4.2,95.8,1,2,Luca Koleosho | Burnley | 2324 | 91.9,Ángel Correa | Atlético Madrid | 1819 | 86.1,Jonathan Ikone | Lille | 1920 | 83.4,Yann Gboho | Toulouse | 2324 | 83.3,Antonio Nusa | RB Leipzig | 2425 | 83.1
Marc Albrighton,1718,Leicester City,ENG-Premier League,"MF,FW",27.0,2538,Ball Progressor,Box-to-Box Engine,33.6,24.3,9.3,90.7,1,3,Rubén García | Osasuna | 2021 | 88.5,Daniel Wass | Celta Vigo | 1718 | 80.6,Gaël Kakuta | Amiens | 1718 | 80.1,Jóhann Berg Guðmundsson | Burnley | 1718 | 79.2,Borja García | Girona | 1718 | 78.1
Matty James,1718,Leicester City,ENG-Premier League,MF,26.0,993,Defensive Anchor,Ball Progressor,41.6,23.1,18.5,81.5,0,1,Nemanja Radoja | Levante | 2122 | 92.0,Isaac Hayden | Newcastle Utd | 2122 | 91.8,Lucas Torró | Osasuna | 2021 | 91.0,Alberto Grassi | Parma | 2021 | 88.9,John Donald | Elche | 2223 | 88.8
Riyad Mahrez,1718,Leicester City,ENG-Premier League,"MF,FW",26.0,2950,Creative Playmaker,Ball Progressor,43.9,22.5,21.4,78.6,2,1,Gianluca Caprari | Hellas Verona | 2122 | 91.9,Hakan Çalhanoğlu | Milan | 1920 | 91.6,Matheus Cunha | Wolves | 2425 | 91.5,Teun Koopmeiners | Atalanta | 2324 | 89.0,Kevin De Bruyne | Manchester City | 1920 | 88.0
Vicente Iborra,1718,Leicester City,ENG-Premier League,MF,29.0,1410,Defensive Anchor,Box-to-Box Engine,35.5,26.9,8.6,91.4,0,3,Stefan Ilsanker | Eint Frankfurt | 2021 | 87.3,Pathé Ciss | Rayo Vallecano | 2324 | 82.9,Carlos Sánchez | Fiorentina | 1718 | 81.8,Ivan Radovanović | Chievo | 1819 | 81.7,Danilo Cataldi | Lazio | 2324 | 81.6
Wilfred Ndidi,1718,Leicester City,ENG-Premier League,MF,20.0,2896,Defensive Anchor,Box-to-Box Engine,34.7,27.1,7.6,92.4,0,3,Declan Rice | West Ham | 1819 | 92.2,Ellyes Skhiri | Montpellier | 1819 | 90.2,Santiago Ascacíbar | Stuttgart | 1819 | 89.4,Renato Tapia | Celta Vigo | 2021 | 89.3,Santi Comesaña | Rayo Vallecano | 2122 | 88.8
Alex Oxlade-Chamberlain,1718,Liverpool,ENG-Premier League,"MF,FW",23.0,1493,Creative Playmaker,Box-to-Box Engine,35.6,23.4,12.2,87.8,2,3,Désiré Doué | Rennes | 2324 | 90.8,João Mário | Inter | 1718 | 88.9,Lorenzo Pellegrini | Roma | 1920 | 86.1,Philippe Coutinho | Liverpool | 1718 | 86.0,Felipe Anderson | West Ham | 1920 | 85.8
Emre Can,1718,Liverpool,ENG-Premier League,MF,23.0,2091,Box-to-Box Engine,Defensive Anchor,34.9,23.1,11.8,88.2,3,0,Adrien Rabiot | Paris S-G | 1718 | 87.5,Giovani Lo Celso | Paris S-G | 1718 | 86.5,Rafinha | Celta Vigo | 1920 | 84.7,Fabián Ruiz Peña | Betis | 1718 | 80.1,Xaver Schlager | RB Leipzig | 2324 | 78.4
Georginio Wijnaldum,1718,Liverpool,ENG-Premier League,MF,26.0,2387,Defensive Anchor,Ball Progressor,29.6,28.2,1.4,98.6,0,1,Stanislav Lobotka | Celta Vigo | 1819 | 83.2,Hugo Magnetti | Brest | 2324 | 80.9,Jack Cork | Burnley | 1718 | 75.9,Iddrisu Baba | Mallorca | 1920 | 75.4,Kenny McLean | Norwich City | 1920 | 73.4
James Milner,1718,Liverpool,ENG-Premier League,MF,31.0,1775,Box-to-Box Engine,Creative Playmaker,30.0,26.1,3.9,96.1,3,2,Marco Verratti | Paris S-G | 2021 | 79.5,Aaron Ramsey | Nice | 2223 | 78.0,Thiago Alcántara | Bayern Munich | 1718 | 77.0,Paul Pogba | Manchester Utd | 2021 | 71.5,Rafinha | Paris S-G | 2021 | 69.6
Jordan Henderson,1718,Liverpool,ENG-Premier League,MF,27.0,2171,Box-to-Box Engine,Defensive Anchor,36.1,25.3,10.8,89.2,3,0,Granit Xhaka | Arsenal | 1819 | 89.6,Rodri | Manchester City | 2122 | 85.1,Matteo Ricci | Spezia | 2021 | 83.2,Corentin Tolisso | Lyon | 2223 | 81.9,Thiago Alcántara | Liverpool | 2021 | 81.7
Philippe Coutinho,1718,Liverpool,ENG-Premier League,"MF,FW",25.0,1109,Creative Playmaker,Box-to-Box Engine,35.3,23.3,12.0,88.0,2,3,Ruslan Malinovskyi | Atalanta | 1920 | 93.5,Isco | Real Madrid | 1718 | 93.2,,Neymar | Paris S-G | 1920 | 93.0,James Rodríguez | Bayern Munich | 1819 | 91.7
Philippe Coutinho,1718,Liverpool,ENG-Premier League,"MF,FW",25.0,1296,Creative Playmaker,Box-to-Box Engine,35.3,23.3,12.0,88.0,2,3,Ruslan Malinovskyi | Atalanta | 1920 | 93.5,Isco | Real Madrid | 1718 | 93.2,,Neymar | Paris S-G | 1920 | 93.0,James Rodríguez | Bayern Munich | 1819 | 91.7
David Silva,1718,Manchester City,ENG-Premier League,MF,31.0,2430,Creative Playmaker,Box-to-Box Engine,34.3,24.4,9.9,90.1,2,3,Kevin De Bruyne | Manchester City | 1920 | 94.2,Papu Gómez | Atalanta | 1819 | 92.4,Julian Draxler | Paris S-G | 1819 | 91.2,Dimitri Payet | Marseille | 1718 | 90.8,Isco | Real Madrid | 1718 | 90.5
Fernandinho,1718,Manchester City,ENG-Premier League,MF,32.0,2881,Box-to-Box Engine,Defensive Anchor,34.3,23.3,11.0,89.0,3,0,Ivan Rakitić | Barcelona | 1718 | 89.6,Asier Illarramendi | Real Sociedad | 1718 | 85.4,Jordan Veretout | Marseille | 2223 | 85.4,Daniel Parejo | Villarreal | 2021 | 84.6,Thomas Partey | Arsenal | 2223 | 84.6
Kevin De Bruyne,1718,Manchester City,ENG-Premier League,MF,26.0,3073,Creative Playmaker,Box-to-Box Engine,33.4,25.3,8.1,91.9,2,3,Luis Alberto | Lazio | 1920 | 95.3,David Silva | Manchester City | 1718 | 93.0,Papu Gómez | Atalanta | 1819 | 91.1,Rodrigo De Paul | Udinese | 2021 | 91.1,Julian Draxler | Paris S-G | 1819 | 91.0
İlkay Gündoğan,1718,Manchester City,ENG-Premier League,MF,26.0,1517,Box-to-Box Engine,Creative Playmaker,29.2,29.0,0.2,99.8,3,2,Vitinha | Paris S-G | 2425 | 84.0,Renato Sanches | Lille | 2021 | 81.2,Luka Modrić | Real Madrid | 1718 | 78.9,Dani Ceballos | Real Madrid | 2223 | 77.1,Flavien Tait | Rennes | 2122 | 76.4
Ander Herrera,1718,Manchester Utd,ENG-Premier League,MF,27.0,1268,Box-to-Box Engine,Defensive Anchor,30.8,30.1,0.7,99.3,3,0,Milan Badelj | Lazio | 1819 | 88.5,Mikel Merino | Newcastle Utd | 1718 | 82.9,Valentin Rongier | Marseille | 2425 | 79.6,Lars Bender | Leverkusen | 1819 | 77.9,Gastón Brugman | Parma | 2021 | 77.4
Henrikh Mkhitaryan,1718,Manchester Utd,ENG-Premier League,"MF,FW",28.0,922,Creative Playmaker,Ball Progressor,37.3,23.2,14.1,85.9,2,1,Riccardo Saponara | Lecce | 1920 | 91.4,Kevin De Bruyne | Manchester City | 2324 | 89.4,Suso | Sevilla | 2324 | 88.8,Ousmane Dembélé | Paris S-G | 2324 | 85.5,Juan Cuadrado | Juventus | 1819 | 85.0
Jesse Lingard,1718,Manchester Utd,ENG-Premier League,"MF,FW",24.0,1817,Creative Playmaker,Ball Progressor,33.9,28.1,5.8,94.2,2,1,Justin Kluivert | Bournemouth | 2425 | 88.2,Houssem Aouar | Lyon | 2021 | 87.9,Federico Chiesa | Juventus | 2021 | 87.5,Benito Raman | Düsseldorf | 1819 | 86.8,Andrej Kramarić | Hoffenheim | 1819 | 85.3
Nemanja Matić,1718,Manchester Utd,ENG-Premier League,MF,28.0,3118,Box-to-Box Engine,Defensive Anchor,33.7,28.2,5.5,94.5,3,0,Valentin Rongier | Marseille | 2223 | 91.9,Pierre Højbjerg | Tottenham | 2122 | 89.3,Axel Witsel | Dortmund | 1819 | 89.1,Luiz Gustavo | Marseille | 1718 | 88.7,Declan Rice | West Ham | 2122 | 87.4
Paul Pogba,1718,Manchester Utd,ENG-Premier League,MF,24.0,2148,Creative Playmaker,Box-to-Box Engine,31.1,27.3,3.8,96.2,2,3,İlkay Gündoğan | Manchester City | 1819 | 90.4,Julian Draxler | Paris S-G | 1819 | 89.2,David Silva | Manchester City | 1718 | 84.7,Luis Alberto | Lazio | 1920 | 84.2,Fabián Ruiz Peña | Paris S-G | 2425 | 83.7
