player,season,team,league,role_subgroup,archetype_id,primary_role,primary_role_label,primary_role_description,primary_role_similarity,role_confidence,role_ambiguity,role_profile_type,secondary_archetype_id,secondary_role,secondary_role_label,secondary_role_similarity,role_fit_bucket,primary_label_status,primary_archetype_match,minutes,pos_,age_,archetype_method,archetype_probability,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role,primary_archetype_id_calc,secondary_role_description
Gaëtan Bong,1718,Brighton,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",37.1,16.3,83.7,Balanced,2,Aerial Defender,🦅 Aerial Defender,20.8,Ambiguous Fit,inferred_v1,True,2236,DF,29.0,PCA+KMeans,43.4,76.4,3.4274193548387095,66.7,29.3,2.782258064516129,0.9677419354838709,3.2661290322580645,1.6129032258064515,1.5725806451612903,1.2903225806451613,1.1693548387096775,50.9,35.75645161290323,2.6129032258064515,0.04032258064516129,5.64516129032258,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Lewis Dunk,1718,Brighton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,54.3,14.4,85.6,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,39.9,Ambiguous Fit,inferred_v1,True,3420,DF,25.0,PCA+KMeans,39.5,53.9,1.4210526315789473,77.8,55.5,1.7105263157894737,1.9210526315789473,6.052631578947368,1.868421052631579,1.763157894736842,0.868421052631579,3.1578947368421053,62.2,47.41929824561404,3.6473684210526316,0.05263157894736842,6.631578947368421,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Markus Suttner,1718,Brighton,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",35.0,13.6,86.4,Balanced,2,Aerial Defender,🦅 Aerial Defender,21.5,Ambiguous Fit,inferred_v1,True,1179,DF,30.0,PCA+KMeans,52.9,81.7,4.2748091603053435,71.0,45.4,2.9770992366412217,1.2213740458015268,3.740458015267176,0.916030534351145,1.9083969465648856,1.1450381679389314,1.0687022900763359,51.9,24.322900763358778,2.458015267175573,0.07633587786259542,4.5038167938931295,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Shane Duffy,1718,Brighton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,53.4,15.6,84.4,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,37.9,Ambiguous Fit,inferred_v1,True,3292,DF,25.0,PCA+KMeans,33.1,28.4,1.0655737704918031,76.4,57.1,0.9562841530054644,1.8032786885245902,9.07103825136612,1.366120218579235,0.8469945355191256,0.5191256830601093,5.245901639344262,68.3,53.08196721311475,3.502732240437159,0.13661202185792348,4.426229508196721,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Ben Mee,1718,Burnley,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,44.0,10.8,89.2,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,33.2,Ambiguous Fit,inferred_v1,True,2610,DF,27.0,PCA+KMeans,42.3,55.2,2.6551724137931036,75.8,56.9,2.0,1.7586206896551724,7.482758620689655,1.1379310344827587,1.1379310344827587,0.6896551724137931,3.896551724137931,59.2,54.36551724137931,3.3586206896551722,0.034482758620689655,5.275862068965517,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Charlie Taylor,1718,Burnley,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,29.7,5.2,94.8,Hybrid,2,Aerial Defender,🦅 Aerial Defender,24.5,Ambiguous Fit,inferred_v1,False,950,DF,23.0,PCA+KMeans,13.3,53.5,2.169811320754717,68.3,29.3,1.4150943396226416,1.2264150943396226,4.90566037735849,1.4150943396226416,1.509433962264151,0.37735849056603776,2.169811320754717,65.7,37.42327044025157,2.8867924528301883,0.0,5.377358490566038,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
James Tarkowski,1718,Burnley,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,38.6,11.3,88.7,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,27.3,Ambiguous Fit,inferred_v1,True,2790,DF,24.0,PCA+KMeans,41.4,49.6,1.903225806451613,72.6,52.1,2.064516129032258,1.7741935483870968,7.193548387096774,1.6129032258064515,1.4838709677419355,0.8387096774193549,4.645161290322581,71.3,53.515053763440854,3.2322580645161287,0.06451612903225806,4.096774193548387,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Kevin Long,1718,Burnley,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,50.2,1.0,99.0,Hybrid,2,Aerial Defender,🦅 Aerial Defender,49.2,Ambiguous Fit,inferred_v1,False,1440,DF,26.0,PCA+KMeans,28.9,42.1,1.75,71.2,59.1,1.4375,1.5625,8.0625,1.1875,2.0,1.4375,4.875,57.8,31.3375,3.4125,0.0625,4.25,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Matthew Lowton,1718,Burnley,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",42.4,10.1,89.9,Hybrid,2,Aerial Defender,🦅 Aerial Defender,32.4,Ambiguous Fit,inferred_v1,True,2295,DF,28.0,PCA+KMeans,11.2,69.5,3.215686274509804,66.9,42.3,3.0588235294117645,1.3725490196078431,5.529411764705882,1.5294117647058822,2.156862745098039,1.3333333333333333,1.2156862745098038,51.7,39.20522875816994,2.988235294117647,0.0784313725490196,4.352941176470588,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Phil Bardsley,1718,Burnley,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,28.8,7.4,92.6,Hybrid,2,Aerial Defender,🦅 Aerial Defender,21.4,Ambiguous Fit,inferred_v1,False,1125,DF,32.0,PCA+KMeans,1.8,44.1,4.24,67.1,35.9,4.4,1.76,6.16,1.76,1.36,1.28,2.08,49.1,37.06,3.1839999999999997,0.0,4.88,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Stephen Ward,1718,Burnley,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,24.4,1.4,98.6,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,23.0,Ambiguous Fit,inferred_v1,True,2460,DF,31.0,PCA+KMeans,0.3,56.7,3.1868131868131866,66.9,39.2,3.5164835164835164,0.9890109890109889,4.615384615384615,1.5384615384615383,1.4285714285714286,1.1355311355311355,1.9780219780219779,65.9,43.45934065934066,2.4835164835164836,0.0,3.8461538461538463,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Andreas Christensen,1718,Chelsea,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,28.8,4.7,95.3,Hybrid,2,Aerial Defender,🦅 Aerial Defender,24.2,Ambiguous Fit,inferred_v1,False,2086,DF,21.0,PCA+KMeans,9.9,39.6,3.2758620689655173,93.1,85.4,2.6724137931034484,1.0775862068965518,4.698275862068965,1.6810344827586208,1.120689655172414,0.560344827586207,2.3706896551724137,67.9,56.75689655172414,2.913793103448276,0.21551724137931036,5.991379310344827,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Antonio Rüdiger,1718,Chelsea,ENG-Premier League,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",68.0,5.7,94.3,Hybrid,2,Aerial Defender,🦅 Aerial Defender,62.3,Hybrid Fit,inferred_v1,True,2338,DF,24.0,PCA+KMeans,28.2,69.6,4.653846153846154,88.8,66.8,4.384615384615385,1.1153846153846154,4.423076923076923,0.9230769230769231,1.1923076923076923,0.8076923076923077,2.230769230769231,60.4,47.54358974358974,2.876923076923077,0.038461538461538464,6.730769230769231,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
César Azpilicueta,1718,Chelsea,ENG-Premier League,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",74.8,12.8,87.2,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,62.0,Good Fit,inferred_v1,False,3330,DF,27.0,PCA+KMeans,27.9,60.2,6.486486486486487,84.4,55.0,5.8108108108108105,1.2972972972972974,3.6486486486486487,1.4594594594594594,2.1621621621621623,1.5945945945945945,2.1621621621621623,60.2,43.020720720720725,2.832432432432433,0.02702702702702703,5.594594594594595,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Gary Cahill,1718,Chelsea,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,38.3,3.2,96.8,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,35.1,Ambiguous Fit,inferred_v1,True,2086,DF,31.0,PCA+KMeans,26.8,58.2,2.9741379310344827,88.6,68.4,3.060344827586207,0.9051724137931034,5.474137931034483,1.1637931034482758,1.25,0.9051724137931034,3.9224137931034484,75.2,59.70747126436782,2.646551724137931,0.04310344827586207,4.439655172413794,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
James Tomkins,1718,Crystal Palace,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,50.8,11.5,88.5,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,39.4,Ambiguous Fit,inferred_v1,True,2387,DF,28.0,PCA+KMeans,37.0,42.8,1.6981132075471699,81.5,60.7,1.471698113207547,0.9056603773584906,8.150943396226415,2.3773584905660377,1.7735849056603774,0.9811320754716981,4.339622641509434,63.5,55.94654088050314,3.577358490566038,0.03773584905660377,4.679245283018868,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Joel Ward,1718,Crystal Palace,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",53.8,16.0,84.0,Balanced,2,Aerial Defender,🦅 Aerial Defender,37.8,Ambiguous Fit,inferred_v1,True,1613,DF,27.0,PCA+KMeans,23.6,72.7,4.41340782122905,72.3,37.2,3.240223463687151,1.5083798882681565,4.245810055865922,1.564245810055866,1.9553072625698324,1.6759776536312851,1.8435754189944136,56.9,38.614525139664806,2.9720670391061454,0.0,5.5865921787709505,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Mamadou Sakho,1718,Crystal Palace,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,65.1,9.5,90.5,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,55.7,Hybrid Fit,inferred_v1,True,1600,DF,27.0,PCA+KMeans,29.2,48.9,2.4157303370786516,84.9,54.7,1.2359550561797752,1.0674157303370786,5.674157303370786,1.6853932584269662,1.1797752808988764,0.7865168539325842,2.191011235955056,52.7,43.29700374531836,3.4943820224719095,0.16853932584269662,7.865168539325842,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Martin Kelly,1718,Crystal Palace,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,33.2,9.4,90.6,Hybrid,2,Aerial Defender,🦅 Aerial Defender,23.9,Ambiguous Fit,inferred_v1,False,1195,DF,27.0,PCA+KMeans,3.1,33.7,1.2030075187969924,72.1,40.2,1.4285714285714286,1.2030075187969924,5.037593984962406,0.6766917293233082,1.4285714285714286,0.9774436090225563,2.0300751879699246,42.9,37.21002506265665,2.31578947368421,0.22556390977443608,3.233082706766917,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Patrick van Aanholt,1718,Crystal Palace,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",56.7,1.0,99.0,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,55.7,Ambiguous Fit,inferred_v1,False,2184,DF,26.0,PCA+KMeans,25.8,72.0,3.786008230452675,75.2,48.7,2.5925925925925926,0.9876543209876543,2.633744855967078,1.934156378600823,1.934156378600823,1.316872427983539,0.24691358024691357,54.5,46.2156378600823,2.831275720164609,0.0823045267489712,6.666666666666666,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Scott Dann,1718,Crystal Palace,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,41.0,9.5,90.5,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,31.5,Ambiguous Fit,inferred_v1,True,1435,DF,30.0,PCA+KMeans,45.1,65.8,2.641509433962264,79.1,55.1,1.8867924528301887,1.069182389937107,6.163522012578616,1.4465408805031446,0.6289308176100629,0.31446540880503143,3.0188679245283017,59.3,54.106289308176095,2.7672955974842766,0.06289308176100629,4.528301886792453,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Timothy Fosu-Mensah,1718,Crystal Palace,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",50.9,24.2,75.8,Balanced,2,Aerial Defender,🦅 Aerial Defender,26.6,Ambiguous Fit,inferred_v1,True,1596,DF,19.0,PCA+KMeans,38.1,73.5,3.1638418079096047,71.8,35.6,2.994350282485876,0.96045197740113,4.1807909604519775,1.7514124293785311,2.3728813559322033,1.864406779661017,1.073446327683616,46.3,36.1578154425612,2.949152542372881,0.05649717514124294,5.480225988700565,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Ashley Williams,1718,Everton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,49.3,10.7,89.3,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,38.6,Ambiguous Fit,inferred_v1,True,1834,DF,32.0,PCA+KMeans,38.9,47.5,1.911764705882353,80.3,57.6,1.519607843137255,1.519607843137255,8.480392156862745,1.7647058823529413,1.1274509803921569,0.6372549019607844,2.5490196078431375,56.5,53.01633986928105,3.519607843137255,0.14705882352941177,4.705882352941177,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Cuco Martina,1718,Everton,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",40.7,15.1,84.9,Balanced,2,Aerial Defender,🦅 Aerial Defender,25.6,Ambiguous Fit,inferred_v1,True,1830,DF,27.0,PCA+KMeans,8.8,51.8,3.3497536945812807,76.2,45.6,2.4630541871921183,0.8374384236453202,6.403940886699507,2.0689655172413794,3.0049261083743843,1.7241379310344827,1.083743842364532,38.6,29.894581280788177,3.6157635467980294,0.09852216748768472,5.763546798029556,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Jonjoe Kenny,1718,Everton,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",51.4,17.6,82.4,Balanced,2,Aerial Defender,🦅 Aerial Defender,33.9,Ambiguous Fit,inferred_v1,True,1590,DF,20.0,PCA+KMeans,18.6,67.1,2.7118644067796613,67.8,42.3,3.050847457627119,0.96045197740113,5.36723163841808,1.5819209039548023,2.3163841807909606,1.864406779661017,2.146892655367232,55.1,31.58229755178908,3.0056497175141246,0.0,4.80225988700565,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Leighton Baines,1718,Everton,ENG-Premier League,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",66.0,33.5,66.5,Specialist,2,Aerial Defender,🦅 Aerial Defender,32.5,Hybrid Fit,inferred_v1,True,1909,DF,32.0,PCA+KMeans,26.2,71.5,3.9622641509433962,76.7,43.6,3.349056603773585,0.8490566037735849,2.6415094339622645,1.179245283018868,1.179245283018868,0.6132075471698113,0.6603773584905661,41.2,32.986792452830194,1.990566037735849,0.0,4.10377358490566,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Mason Holgate,1718,Everton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,40.9,12.5,87.5,Balanced,2,Aerial Defender,🦅 Aerial Defender,28.4,Ambiguous Fit,inferred_v1,False,1184,DF,20.0,PCA+KMeans,10.5,47.1,3.3333333333333335,66.5,43.9,3.181818181818182,0.9090909090909092,6.515151515151516,1.7424242424242424,1.7424242424242424,1.2121212121212122,2.4242424242424243,45.1,38.074747474747475,3.045454545454546,0.15151515151515152,4.318181818181818,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Michael Keane,1718,Everton,ENG-Premier League,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,46.3,11.1,88.9,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,35.2,Ambiguous Fit,inferred_v1,True,2560,DF,24.0,PCA+KMeans,40.8,54.3,2.922535211267606,77.4,57.8,2.676056338028169,1.3732394366197185,7.535211267605634,1.8661971830985917,1.1619718309859155,0.8802816901408451,4.507042253521127,60.1,54.869014084507036,3.359154929577465,0.0,4.859154929577465,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
